policy_id,company_id,policy_type,coverage_amount,premium_cost,start_date,end_date
83,37,Cyber,3515377.13,14198.44,2021-08-14,2023-08-14
84,38,Home,1861506.64,6225.04,2022-07-27,2025-07-26
85,38,Property,4065869.66,16297.21,2020-05-28,2023-05-28
86,38,Cyber,4348654.36,18308.19,2021-10-21,2023-10-21
87,39,Liability,2605577.75,10279.57,2021-02-11,2022-02-11
88,39,Home,4011646.38,13174.3,2023-03-04,2025-03-03
89,39,Property,3539637.7,16017.96,2021-12-01,2023-12-01
90,40,Liability,4461026.17,7090.91,2023-08-22,2026-08-21
91,40,Cyber,1940356.47,2332.65,2023-02-22,2025-02-21
92,40,Home,2933572.69,1200.87,2022-11-16,2024-11-15
93,41,Home,2381430.29,11081.57,2023-11-29,2025-11-28
94,41,Auto,1504052.14,12021.25,2023-10-10,2026-10-09
95,41,Property,249451.22,1228.29,2022-04-06,2024-04-05
96,42,Property,4130742.75,7523.72,2021-09-07,2024-09-06
97,42,Auto,722596.51,10683.74,2022-08-30,2024-08-29
98,42,Liability,3872968.41,4708.51,2023-02-15,2024-02-15
99,43,Home,3152163.33,2164.28,2022-01-18,2023-01-18
100,44,Home,353240.43,10861.42,2022-01-05,2023-01-05
101,45,Auto,2749112.1,12929.88,2021-09-13,2024-09-12
102,45,Cyber,3657847.54,19529.12,2023-08-11,2025-08-10
103,46,Home,2629871.71,6797.65,2024-01-14,2027-01-13
104,46,Cyber,3996412.35,5781.23,2020-05-28,2023-05-28
105,46,Cyber,2250959.96,2029.9,2022-05-08,2024-05-07
106,47,Auto,224218.64,19271.64,2021-02-19,2022-02-19
107,48,Home,4196302.59,14071.5,2022-02-14,2024-02-14
108,49,Property,2103869.43,3879.24,2020-06-04,2023-06-04
109,50,Property,866541.51,5379.74,2024-04-03,2025-04-03
110,50,Auto,2791210.66,14434.62,2021-07-13,2022-07-13
111,51,Cyber,3334967.15,5958.71,2021-09-23,2022-09-23
112,51,Property,4778839.88,14888.99,2022-02-06,2025-02-05
113,52,Liability,2816334.86,12428.55,2022-12-18,2025-12-17
114,52,Property,2156040.31,5330.75,2022-06-08,2024-06-07
115,52,Property,1844266.13,15278.0,2020-07-12,2023-07-12
116,53,Cyber,170528.09,2763.42,2021-10-21,2024-10-20
117,53,Cyber,325412.95,1294.21,2021-05-24,2022-05-24
118,54,Home,4291756.86,14221.33,2023-12-05,2025-12-04
119,54,Liability,2423451.76,2407.77,2023-09-13,2026-09-12
120,55,Home,2508917.79,9732.7,2023-02-20,2025-02-19
121,55,Cyber,948689.16,8960.11,2022-08-13,2024-08-12
122,55,Liability,2052673.2,12509.08,2022-10-19,2023-10-19
123,56,Liability,3211958.89,1383.43,2022-01-21,2024-01-21
124,57,Auto,1935601.81,12704.27,2021-09-06,2024-09-05
125,57,Home,2565367.67,17201.55,2020-12-11,2021-12-11
126,58,Home,3327598.79,3677.22,2022-03-27,2024-03-26
127,59,Auto,445786.86,13027.18,2022-07-11,2023-07-11
128,59,Cyber,229905.42,11922.62,2021-11-03,2023-11-03
129,59,Property,4707128.18,11721.75,2021-09-22,2023-09-22
130,60,Auto,2002032.64,13044.12,2021-03-11,2023-03-11
131,60,Cyber,2345439.16,11139.53,2024-01-19,2025-01-18
132,61,Auto,4713177.56,8029.0,2020-05-29,2023-05-29
133,61,Cyber,4809833.76,18154.34,2021-05-06,2024-05-05
134,62,Liability,1059376.56,1852.55,2020-08-14,2021-08-14
135,62,Cyber,593812.21,855.33,2020-07-04,2022-07-04
136,63,Property,562770.51,13818.63,2020-08-13,2023-08-13
137,63,Home,448824.38,6720.02,2023-05-28,2026-05-27
138,64,Liability,4239889.02,953.8,2021-07-26,2022-07-26
139,64,Cyber,4090895.56,5996.17,2021-09-01,2023-09-01
140,65,Liability,679007.66,14086.37,2023-06-10,2025-06-09
141,66,Cyber,3181819.95,17610.7,2021-09-12,2024-09-11
142,66,Home,3701848.11,16167.88,2021-01-21,2024-01-21
143,66,Home,1481969.41,3960.07,2021-06-18,2023-06-18
144,67,Auto,3778012.28,16233.28,2023-02-17,2026-02-16
145,67,Property,4953475.2,8546.04,2022-09-29,2024-09-28
146,67,Auto,1922888.62,15640.05,2024-02-09,2027-02-08
147,68,Cyber,1769937.35,18649.77,2023-10-06,2026-10-05
148,69,Home,4306222.48,8865.38,2020-07-04,2022-07-04
149,70,Cyber,3779268.23,15213.59,2022-07-09,2024-07-08
150,71,Cyber,605306.96,18099.78,2023-12-04,2024-12-03
151,71,Liability,2575736.62,16615.92,2020-12-24,2022-12-24
152,72,Cyber,1668243.05,17962.7,2022-11-09,2024-11-08
153,72,Auto,2007088.23,711.33,2021-09-20,2023-09-20
154,73,Property,4536371.68,2280.09,2023-01-19,2024-01-19
155,73,Liability,1664636.82,19026.21,2022-11-04,2023-11-04
156,74,Auto,4757975.02,11682.04,2021-02-28,2024-02-28
157,75,Auto,3196002.34,9244.69,2020-11-19,2021-11-19
158,75,Home,1536732.78,6908.96,2023-11-15,2024-11-14
159,75,Property,3395340.43,15171.3,2024-02-22,2025-02-21
160,76,Home,3978737.31,15897.55,2021-08-01,2022-08-01
161,77,Auto,546909.9,10141.2,2020-10-11,2023-10-11
162,77,Home,382037.92,11215.81,2021-07-04,2024-07-03
163,78,Liability,2263499.46,17810.23,2021-10-07,2024-10-06
164,78,Home,1819483.56,2782.81,2023-10-13,2025-10-12
165,79,Auto,800659.24,15349.46,2023-03-24,2026-03-23
166,79,Liability,3129268.51,2471.89,2021-03-08,2022-03-08
167,79,Property,512123.35,14168.9,2021-10-24,2022-10-24
168,80,Property,456538.73,16526.27,2022-01-13,2024-01-13
169,81,Cyber,3560586.91,2086.3,2021-07-29,2023-07-29
170,81,Home,515704.8,19739.47,2022-03-14,2025-03-13
171,81,Property,1933926.9,7727.52,2020-09-26,2021-09-26
172,82,Home,4082717.88,18971.35,2020-05-31,2023-05-31
173,82,Liability,4931405.21,15190.87,2020-12-23,2021-12-23
174,82,Property,1943671.97,2128.26,2023-09-08,2026-09-07
175,83,Auto,3908019.89,11388.88,2023-09-01,2026-08-31
176,84,Cyber,2178687.85,18173.91,2023-02-16,2026-02-15
177,84,Liability,644867.66,10106.19,2022-08-27,2025-08-26
178,85,Liability,155632.86,9638.88,2022-06-04,2025-06-03
179,86,Cyber,375886.05,2816.95,2022-10-18,2024-10-17
180,87,Liability,675878.61,13159.6,2023-08-26,2025-08-25
181,88,Home,3755619.91,11875.69,2023-12-21,2025-12-20
182,88,Home,4814645.49,7809.98,2022-10-18,2024-10-17
183,88,Property,1499989.22,17437.68,2022-07-02,2025-07-01
184,89,Property,1195619.61,19282.84,2020-10-06,2022-10-06
185,89,Cyber,159556.93,19412.64,2021-06-09,2024-06-08
186,89,Cyber,311483.57,17877.29,2023-03-31,2025-03-30
187,90,Liability,2685735.43,19862.81,2023-05-19,2026-05-18
188,90,Home,461603.17,11300.16,2022-05-23,2024-05-22
189,90,Liability,4849582.42,10700.41,2023-10-23,2024-10-22
190,91,Cyber,3184053.33,14067.1,2020-09-15,2021-09-15
191,91,Property,2327251.22,12737.38,2024-02-09,2027-02-08
192,92,Liability,2963140.13,18072.58,2021-03-07,2023-03-07
193,92,Cyber,322687.26,5978.78,2021-04-03,2022-04-03
194,92,Home,4757016.27,17860.14,2024-03-19,2026-03-19
195,93,Liability,2332718.09,12592.59,2022-03-16,2023-03-16
196,93,Liability,1459167.8,4168.36,2024-01-04,2026-01-03
197,94,Liability,2372122.18,7390.37,2020-12-29,2023-12-29
198,94,Auto,2959914.95,2015.83,2020-05-05,2023-05-05
199,95,Auto,4874534.56,19731.11,2021-10-18,2022-10-18
200,95,Cyber,3520992.4,10953.88,2022-04-07,2023-04-07
201,95,Property,1616685.32,16369.0,2022-11-16,2024-11-15
202,96,Cyber,3455182.75,3671.03,2022-03-19,2025-03-18
203,97,Cyber,4563543.2,16539.48,2022-03-20,2025-03-19
204,97,Auto,4754019.58,14651.53,2023-09-10,2025-09-09
205,97,Liability,3105734.46,8655.74,2020-10-13,2021-10-13
206,98,Home,4670369.57,17388.25,2022-04-20,2024-04-19
207,99,Property,321571.48,1014.16,2023-08-24,2026-08-23
208,99,Cyber,1944670.5,16305.79,2020-10-31,2022-10-31
