claim_id,policy_id,claim_date,claim_amount,claim_status,claim_reason
95,161,2023-08-11,41797.76,Pending,Natural Disaster
96,161,2023-08-02,436915.73,Pending,Theft
97,161,2023-05-24,460515.33,Approved,Natural Disaster
98,162,2022-10-04,31477.9,Approved,Natural Disaster
99,162,2023-01-03,139161.95,Denied,Theft
100,162,2023-07-23,403294.44,Pending,Natural Disaster
101,165,2025-10-29,374381.59,Denied,Accident
102,175,2025-03-01,93075.99,Approved,Theft
103,177,2025-03-12,105465.31,Pending,Fire
104,190,2020-10-20,185865.58,Denied,Fire
105,190,2021-01-04,242776.97,Denied,Natural Disaster
106,190,2021-04-25,309509.13,Approved,Theft
107,191,2024-02-25,185087.91,Denied,Malfunction
108,191,2027-01-19,231804.82,Pending,Theft
109,191,2024-07-21,373988.0,Approved,Natural Disaster
110,192,2022-07-27,19304.92,Denied,Accident
111,196,2025-03-19,126966.04,Approved,Fire
112,196,2025-07-22,356961.44,Pending,Fire
113,197,2022-04-04,447708.21,Approved,Malfunction
114,197,2022-08-16,256327.04,Approved,Fire
115,197,2022-02-16,266524.63,Denied,Fire
116,200,2022-12-08,54478.83,Approved,Malfunction
117,201,2023-01-23,224258.77,Approved,Accident
118,202,2024-04-21,266776.02,Approved,Malfunction
119,202,2023-06-02,121992.78,Denied,Accident
120,203,2024-04-06,135352.37,Approved,Natural Disaster
