policy_id,company_id,policy_type,coverage_amount,premium_cost,start_date,end_date,company_name,industry,company_size,revenue,location,founded_year,risk_score,score_date,num_claims,avg_claim_amount,last_claim_date,claim_approval_rate
24,10,Liability,352245.88,5933.61,2023-03-20,2024-03-19,"Brown, Wilson and Murray",Finance,Medium,22925030.3,Johnsonberg,1969,100.0,2025-03-19,3.0,340612.95,2024-02-26,0.0
25,11,Property,4550502.84,5171.46,2022-07-07,2023-07-07,Thomas-Huang,Healthcare,Medium,242778364.52,Port Jacobmouth,1963,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
26,12,Liability,809984.87,10044.33,2021-10-05,2023-10-05,House-Fuentes,Tech,Medium,250570579.04,Lake Jacob,1962,38.27,2025-04-10,0.0,0.0,2000-01-01,0.0
27,13,Liability,4929687.23,5220.08,2024-02-08,2025-02-07,Hughes Group,Finance,Medium,96750557.61,Shortstad,1983,100.0,2025-03-28,0.0,0.0,2000-01-01,0.0
28,13,Liability,3393464.18,15351.58,2023-10-23,2024-10-22,Hughes Group,Finance,Medium,96750557.61,Shortstad,1983,100.0,2025-03-28,0.0,0.0,2000-01-01,0.0
29,13,Cyber,1264423.97,14700.22,2023-05-30,2026-05-29,Hughes Group,Finance,Medium,96750557.61,Shortstad,1983,100.0,2025-03-28,0.0,0.0,2000-01-01,0.0
30,14,Auto,1902137.35,12829.96,2021-05-07,2022-05-07,Daniels-Myers,Tech,Large,58638365.33,South Josephland,2008,100.0,2025-03-29,1.0,225821.52,2021-12-04,0.0
31,14,Cyber,3204295.58,10947.61,2021-08-19,2024-08-18,Daniels-Myers,Tech,Large,58638365.33,South Josephland,2008,100.0,2025-03-29,1.0,65450.55,2022-09-29,0.0
32,15,Auto,542419.87,16788.4,2022-05-10,2023-05-10,Holt LLC,Manufacturing,Small,99868209.83,East Rogerberg,1998,100.0,2025-04-05,2.0,390276.30000000005,2022-05-28,0.0
33,15,Home,1671822.32,4137.11,2022-04-26,2024-04-25,Holt LLC,Manufacturing,Small,99868209.83,East Rogerberg,1998,100.0,2025-04-05,2.0,225635.7,2023-10-07,0.0
34,16,Home,299798.19,12022.41,2021-08-28,2023-08-28,Madden-Gaines,Tech,Large,94751461.67,Kristichester,1987,100.0,2025-04-03,1.0,309445.99,2022-01-01,0.0
35,16,Cyber,3420065.37,823.46,2023-02-27,2026-02-26,Madden-Gaines,Tech,Large,94751461.67,Kristichester,1987,100.0,2025-04-03,0.0,0.0,2000-01-01,0.0
36,16,Cyber,2609255.99,4916.67,2020-11-23,2023-11-23,Madden-Gaines,Tech,Large,94751461.67,Kristichester,1987,100.0,2025-04-03,0.0,0.0,2000-01-01,0.0
37,17,Auto,3261346.67,3900.15,2021-06-07,2022-06-07,Jimenez Ltd,Manufacturing,Medium,267130651.5,Wilsonchester,1974,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
38,17,Home,3485594.92,8041.34,2023-02-26,2024-02-26,Jimenez Ltd,Manufacturing,Medium,267130651.5,Wilsonchester,1974,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
39,17,Auto,4689976.94,3181.66,2022-11-11,2025-11-10,Jimenez Ltd,Manufacturing,Medium,267130651.5,Wilsonchester,1974,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
40,18,Property,1771225.12,2712.73,2023-07-30,2026-07-29,Sanders-Fritz,Tech,Small,132423780.5,Lake Rachael,1979,100.0,2025-04-02,0.0,0.0,2000-01-01,0.0
41,18,Cyber,4630998.73,17608.12,2020-09-08,2021-09-08,Sanders-Fritz,Tech,Small,132423780.5,Lake Rachael,1979,100.0,2025-04-02,0.0,0.0,2000-01-01,0.0
42,19,Liability,1363913.98,13369.69,2021-08-12,2022-08-12,Brown-Wallace,Finance,Small,127123218.98,Bradleyview,1979,100.0,2025-03-18,1.0,179723.2,2022-06-03,0.0
43,20,Liability,4104388.78,11326.42,2021-05-29,2022-05-29,Howard-Lewis,Tech,Medium,185496603.94,Ellisshire,1985,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
44,20,Home,2695287.83,5216.12,2021-03-06,2022-03-06,Howard-Lewis,Tech,Medium,185496603.94,Ellisshire,1985,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
45,21,Liability,556203.56,17995.71,2022-11-08,2023-11-08,Long-Goodman,Retail,Large,28759278.27,Port Victor,1996,100.0,2025-04-04,1.0,57665.24,2023-02-03,0.0
46,21,Cyber,4512048.48,12845.48,2020-07-07,2023-07-07,Long-Goodman,Retail,Large,28759278.27,Port Victor,1996,100.0,2025-04-04,0.0,0.0,2000-01-01,0.0
47,21,Home,1761245.98,7309.59,2023-09-15,2026-09-14,Long-Goodman,Retail,Large,28759278.27,Port Victor,1996,100.0,2025-04-04,0.0,0.0,2000-01-01,0.0
48,22,Home,3657182.83,17993.65,2022-03-04,2023-03-04,Houston-Dean,Healthcare,Medium,80114715.65,South David,1995,100.0,2025-03-30,0.0,0.0,2000-01-01,0.0
49,23,Home,4446723.48,15707.57,2023-11-05,2024-11-04,Bradshaw PLC,Healthcare,Large,97926842.39,Arnoldmouth,1984,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
50,23,Liability,3245955.07,2140.73,2024-01-23,2027-01-22,Bradshaw PLC,Healthcare,Large,97926842.39,Arnoldmouth,1984,100.0,2025-03-27,1.0,336115.02,2024-09-02,0.0
51,24,Home,891980.7,18021.81,2020-04-27,2023-04-27,Christensen PLC,Tech,Large,139540645.34,Dianeburgh,1971,100.0,2025-04-06,0.0,0.0,2000-01-01,0.0
52,24,Home,3071502.39,679.34,2023-08-13,2025-08-12,Christensen PLC,Tech,Large,139540645.34,Dianeburgh,1971,100.0,2025-04-06,1.0,260633.54,2024-02-20,0.0
53,25,Cyber,597210.56,13438.28,2024-01-17,2025-01-16,Frederick PLC,Manufacturing,Large,394736221.08,South Stephen,1981,100.0,2025-04-02,0.0,0.0,2000-01-01,0.0
54,25,Cyber,124801.76,3635.76,2020-04-15,2021-04-15,Frederick PLC,Manufacturing,Large,394736221.08,South Stephen,1981,100.0,2025-04-02,3.0,357729.01333333337,2021-02-15,0.3333333333333333
55,25,Home,2788795.57,13991.96,2021-04-07,2022-04-07,Frederick PLC,Manufacturing,Large,394736221.08,South Stephen,1981,100.0,2025-04-02,0.0,0.0,2000-01-01,0.0
56,26,Liability,3294610.17,4873.25,2021-03-04,2023-03-04,White LLC,Healthcare,Medium,57921707.72,Stoneland,1998,100.0,2025-03-16,0.0,0.0,2000-01-01,0.0
57,26,Home,3589678.18,5126.36,2024-01-22,2025-01-21,White LLC,Healthcare,Medium,57921707.72,Stoneland,1998,100.0,2025-03-16,3.0,331919.9033333333,2024-11-01,0.3333333333333333
58,27,Home,1694458.52,15056.58,2022-04-18,2025-04-17,Delgado-Snyder,Finance,Large,212980258.79,New Dominiquechester,1978,100.0,2025-03-30,0.0,0.0,2000-01-01,0.0
59,28,Liability,3283201.21,17059.86,2024-02-17,2026-02-16,"Farmer, Andrews and Bridges",Finance,Small,243079609.01,Bethanyfort,1979,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
60,28,Liability,3322303.17,11582.02,2021-09-30,2022-09-30,"Farmer, Andrews and Bridges",Finance,Small,243079609.01,Bethanyfort,1979,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
61,29,Property,559006.36,7670.46,2024-04-01,2027-04-01,Hammond Inc,Tech,Medium,18702871.75,Port Hailey,2001,43.64,2025-03-25,0.0,0.0,2000-01-01,0.0
62,29,Property,1399491.6,5257.8,2022-02-22,2024-02-22,Hammond Inc,Tech,Medium,18702871.75,Port Hailey,2001,43.64,2025-03-25,0.0,0.0,2000-01-01,0.0
63,30,Auto,4867751.72,8165.41,2021-03-15,2022-03-15,Walker-Brown,Finance,Small,248904767.98,Jamesview,1977,100.0,2025-03-20,2.0,135105.77500000002,2021-11-12,0.0
64,30,Home,4471028.12,12807.2,2021-10-01,2023-10-01,Walker-Brown,Finance,Small,248904767.98,Jamesview,1977,100.0,2025-03-20,0.0,0.0,2000-01-01,0.0
65,31,Auto,3994575.39,10301.42,2023-12-31,2025-12-30,"Bray, Jones and Keller",Manufacturing,Large,93556820.61,Butlerton,1990,100.0,2025-04-06,0.0,0.0,2000-01-01,0.0
66,31,Property,2926829.03,10104.1,2021-04-15,2022-04-15,"Bray, Jones and Keller",Manufacturing,Large,93556820.61,Butlerton,1990,100.0,2025-04-06,0.0,0.0,2000-01-01,0.0
67,31,Liability,1056690.64,14587.82,2021-06-20,2023-06-20,"Bray, Jones and Keller",Manufacturing,Large,93556820.61,Butlerton,1990,100.0,2025-04-06,0.0,0.0,2000-01-01,0.0
68,32,Cyber,1475784.58,974.16,2023-06-05,2025-06-04,Blanchard PLC,Healthcare,Large,25612382.32,South Debbie,2013,100.0,2025-04-01,0.0,0.0,2000-01-01,0.0
69,32,Property,3262814.25,3953.66,2022-08-06,2025-08-05,Blanchard PLC,Healthcare,Large,25612382.32,South Debbie,2013,100.0,2025-04-01,0.0,0.0,2000-01-01,0.0
70,32,Cyber,4708247.06,19101.61,2021-03-24,2022-03-24,Blanchard PLC,Healthcare,Large,25612382.32,South Debbie,2013,100.0,2025-04-01,0.0,0.0,2000-01-01,0.0
71,33,Liability,4582835.51,7718.09,2022-11-14,2023-11-14,"Atkinson, Barker and Mayer",Retail,Large,189828221.91,West Mark,2008,100.0,2025-04-12,0.0,0.0,2000-01-01,0.0
72,33,Cyber,175737.42,18602.21,2021-09-28,2022-09-28,"Atkinson, Barker and Mayer",Retail,Large,189828221.91,West Mark,2008,100.0,2025-04-12,0.0,0.0,2000-01-01,0.0
73,33,Property,2198102.33,19349.77,2021-05-19,2022-05-19,"Atkinson, Barker and Mayer",Retail,Large,189828221.91,West Mark,2008,100.0,2025-04-12,2.0,196588.025,2022-04-07,0.0
74,34,Home,4821737.89,17133.68,2023-03-11,2026-03-10,Jones LLC,Healthcare,Medium,241751687.94,Port Christianmouth,1967,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
75,34,Cyber,1542799.57,8009.41,2023-02-02,2025-02-01,Jones LLC,Healthcare,Medium,241751687.94,Port Christianmouth,1967,100.0,2025-03-22,3.0,256713.12999999998,2024-11-04,0.6666666666666666
76,34,Liability,4270569.69,6679.98,2021-12-29,2022-12-29,Jones LLC,Healthcare,Medium,241751687.94,Port Christianmouth,1967,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
77,35,Auto,930514.46,11357.62,2023-01-18,2025-01-17,"Moore, Preston and Meyer",Healthcare,Large,204015363.55,Sherryport,2018,100.0,2025-04-03,0.0,0.0,2000-01-01,0.0
78,35,Liability,4687158.39,14072.58,2020-06-17,2023-06-17,"Moore, Preston and Meyer",Healthcare,Large,204015363.55,Sherryport,2018,100.0,2025-04-03,1.0,69049.37,2022-02-22,0.0
79,35,Liability,2893299.73,2394.94,2022-10-17,2025-10-16,"Moore, Preston and Meyer",Healthcare,Large,204015363.55,Sherryport,2018,100.0,2025-04-03,2.0,92100.49,2025-06-13,1.0
80,36,Liability,3113535.41,19806.05,2022-10-02,2024-10-01,"Rodriguez, Freeman and Nichols",Finance,Large,132276301.13,Danielview,2004,100.0,2025-03-30,0.0,0.0,2000-01-01,0.0
81,36,Liability,786411.67,10607.43,2020-09-28,2022-09-28,"Rodriguez, Freeman and Nichols",Finance,Large,132276301.13,Danielview,2004,100.0,2025-03-30,0.0,0.0,2000-01-01,0.0
82,36,Home,4399128.05,14944.99,2022-10-21,2025-10-20,"Rodriguez, Freeman and Nichols",Finance,Large,132276301.13,Danielview,2004,100.0,2025-03-30,3.0,237132.9,2024-09-16,0.0
83,37,Cyber,3515377.13,14198.44,2021-08-14,2023-08-14,Ellis PLC,Manufacturing,Medium,57859335.86,Mcdonaldbury,1996,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
84,38,Home,1861506.64,6225.04,2022-07-27,2025-07-26,"Jackson, Gomez and Manning",Healthcare,Small,174215926.36,Porterside,2015,100.0,2025-04-03,3.0,294811.81,2024-03-17,0.6666666666666666
85,38,Property,4065869.66,16297.21,2020-05-28,2023-05-28,"Jackson, Gomez and Manning",Healthcare,Small,174215926.36,Porterside,2015,100.0,2025-04-03,0.0,0.0,2000-01-01,0.0
86,38,Cyber,4348654.36,18308.19,2021-10-21,2023-10-21,"Jackson, Gomez and Manning",Healthcare,Small,174215926.36,Porterside,2015,100.0,2025-04-03,2.0,295458.85,2022-03-21,0.0
87,39,Liability,2605577.75,10279.57,2021-02-11,2022-02-11,Mcmahon-Scott,Retail,Small,88590346.25,North Joshuamouth,1956,100.0,2025-03-21,2.0,371370.375,2021-10-08,0.0
88,39,Home,4011646.38,13174.3,2023-03-04,2025-03-03,Mcmahon-Scott,Retail,Small,88590346.25,North Joshuamouth,1956,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
89,39,Property,3539637.7,16017.96,2021-12-01,2023-12-01,Mcmahon-Scott,Retail,Small,88590346.25,North Joshuamouth,1956,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
90,40,Liability,4461026.17,7090.91,2023-08-22,2026-08-21,Hall LLC,Tech,Small,41001279.28,Sydneytown,1970,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
91,40,Cyber,1940356.47,2332.65,2023-02-22,2025-02-21,Hall LLC,Tech,Small,41001279.28,Sydneytown,1970,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
92,40,Home,2933572.69,1200.87,2022-11-16,2024-11-15,Hall LLC,Tech,Small,41001279.28,Sydneytown,1970,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
93,41,Home,2381430.29,11081.57,2023-11-29,2025-11-28,"Massey, Waters and Baird",Retail,Large,99540205.11,East Aaronton,1958,98.21,2025-04-09,0.0,0.0,2000-01-01,0.0
94,41,Auto,1504052.14,12021.25,2023-10-10,2026-10-09,"Massey, Waters and Baird",Retail,Large,99540205.11,East Aaronton,1958,98.21,2025-04-09,0.0,0.0,2000-01-01,0.0
95,41,Property,249451.22,1228.29,2022-04-06,2024-04-05,"Massey, Waters and Baird",Retail,Large,99540205.11,East Aaronton,1958,98.21,2025-04-09,0.0,0.0,2000-01-01,0.0
96,42,Property,4130742.75,7523.72,2021-09-07,2024-09-06,Stewart-Hardin,Retail,Medium,7843315.7,Spencerville,2009,100.0,2025-03-23,0.0,0.0,2000-01-01,0.0
97,42,Auto,722596.51,10683.74,2022-08-30,2024-08-29,Stewart-Hardin,Retail,Medium,7843315.7,Spencerville,2009,100.0,2025-03-23,2.0,274600.23,2024-02-03,1.0
98,42,Liability,3872968.41,4708.51,2023-02-15,2024-02-15,Stewart-Hardin,Retail,Medium,7843315.7,Spencerville,2009,100.0,2025-03-23,0.0,0.0,2000-01-01,0.0
99,43,Home,3152163.33,2164.28,2022-01-18,2023-01-18,Williams LLC,Manufacturing,Medium,455566997.02,Lewisstad,2020,100.0,2025-04-12,0.0,0.0,2000-01-01,0.0
100,44,Home,353240.43,10861.42,2022-01-05,2023-01-05,"Morris, Hill and Harrison",Tech,Large,81340094.57,East Jacquelineland,1964,17.74,2025-04-01,0.0,0.0,2000-01-01,0.0
101,45,Auto,2749112.1,12929.88,2021-09-13,2024-09-12,"Armstrong, Wilkins and Coleman",Manufacturing,Medium,334635919.33,Duffyside,1993,100.0,2025-03-15,0.0,0.0,2000-01-01,0.0
102,45,Cyber,3657847.54,19529.12,2023-08-11,2025-08-10,"Armstrong, Wilkins and Coleman",Manufacturing,Medium,334635919.33,Duffyside,1993,100.0,2025-03-15,0.0,0.0,2000-01-01,0.0
103,46,Home,2629871.71,6797.65,2024-01-14,2027-01-13,"Knight, Hines and Smith",Tech,Medium,96954767.45,New Angelica,2005,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
104,46,Cyber,3996412.35,5781.23,2020-05-28,2023-05-28,"Knight, Hines and Smith",Tech,Medium,96954767.45,New Angelica,2005,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
105,46,Cyber,2250959.96,2029.9,2022-05-08,2024-05-07,"Knight, Hines and Smith",Tech,Medium,96954767.45,New Angelica,2005,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
106,47,Auto,224218.64,19271.64,2021-02-19,2022-02-19,"Fletcher, Fields and Olson",Healthcare,Medium,134816325.08,Smithmouth,1950,70.46,2025-04-04,3.0,279932.39999999997,2021-10-30,0.6666666666666666
107,48,Home,4196302.59,14071.5,2022-02-14,2024-02-14,Collins PLC,Finance,Large,225483457.55,New Johnview,1972,100.0,2025-03-16,0.0,0.0,2000-01-01,0.0
108,49,Property,2103869.43,3879.24,2020-06-04,2023-06-04,Black-Wright,Manufacturing,Small,100578683.21,New Ginabury,1988,100.0,2025-04-07,1.0,230108.74,2022-03-07,0.0
109,50,Property,866541.51,5379.74,2024-04-03,2025-04-03,Watkins-Conrad,Manufacturing,Large,485096467.6,West Andrea,1975,100.0,2025-03-29,2.0,368426.345,2024-12-05,0.0
110,50,Auto,2791210.66,14434.62,2021-07-13,2022-07-13,Watkins-Conrad,Manufacturing,Large,485096467.6,West Andrea,1975,100.0,2025-03-29,0.0,0.0,2000-01-01,0.0
111,51,Cyber,3334967.15,5958.71,2021-09-23,2022-09-23,Rivera LLC,Healthcare,Medium,196031877.61,Burchport,1970,100.0,2025-03-16,0.0,0.0,2000-01-01,0.0
112,51,Property,4778839.88,14888.99,2022-02-06,2025-02-05,Rivera LLC,Healthcare,Medium,196031877.61,Burchport,1970,100.0,2025-03-16,0.0,0.0,2000-01-01,0.0
113,52,Liability,2816334.86,12428.55,2022-12-18,2025-12-17,Estes-Simpson,Manufacturing,Large,470354481.37,Phillipstad,1950,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
114,52,Property,2156040.31,5330.75,2022-06-08,2024-06-07,Estes-Simpson,Manufacturing,Large,470354481.37,Phillipstad,1950,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
115,52,Property,1844266.13,15278.0,2020-07-12,2023-07-12,Estes-Simpson,Manufacturing,Large,470354481.37,Phillipstad,1950,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
116,53,Cyber,170528.09,2763.42,2021-10-21,2024-10-20,Gamble Group,Manufacturing,Medium,448465401.71,Nicholasfurt,2012,17.59,2025-04-11,0.0,0.0,2000-01-01,0.0
117,53,Cyber,325412.95,1294.21,2021-05-24,2022-05-24,Gamble Group,Manufacturing,Medium,448465401.71,Nicholasfurt,2012,17.59,2025-04-11,0.0,0.0,2000-01-01,0.0
118,54,Home,4291756.86,14221.33,2023-12-05,2025-12-04,Ramsey Inc,Tech,Small,181380493.75,South Patriciastad,1996,100.0,2025-04-07,0.0,0.0,2000-01-01,0.0
119,54,Liability,2423451.76,2407.77,2023-09-13,2026-09-12,Ramsey Inc,Tech,Small,181380493.75,South Patriciastad,1996,100.0,2025-04-07,1.0,165047.05,2024-11-22,1.0
120,55,Home,2508917.79,9732.7,2023-02-20,2025-02-19,"Harris, Adams and Eaton",Finance,Small,369921580.48,North Georgeburgh,1957,100.0,2025-04-10,0.0,0.0,2000-01-01,0.0
121,55,Cyber,948689.16,8960.11,2022-08-13,2024-08-12,"Harris, Adams and Eaton",Finance,Small,369921580.48,North Georgeburgh,1957,100.0,2025-04-10,0.0,0.0,2000-01-01,0.0
122,55,Liability,2052673.2,12509.08,2022-10-19,2023-10-19,"Harris, Adams and Eaton",Finance,Small,369921580.48,North Georgeburgh,1957,100.0,2025-04-10,0.0,0.0,2000-01-01,0.0
123,56,Liability,3211958.89,1383.43,2022-01-21,2024-01-21,"Chen, Maldonado and Pratt",Healthcare,Large,31238200.49,Dunnmouth,1960,100.0,2025-04-07,3.0,158918.49666666667,2023-07-29,0.0
124,57,Auto,1935601.81,12704.27,2021-09-06,2024-09-05,Norris-Norton,Tech,Large,62814944.41,Lake Derekstad,2012,100.0,2025-03-29,0.0,0.0,2000-01-01,0.0
125,57,Home,2565367.67,17201.55,2020-12-11,2021-12-11,Norris-Norton,Tech,Large,62814944.41,Lake Derekstad,2012,100.0,2025-03-29,1.0,65310.98,2021-06-19,0.0
126,58,Home,3327598.79,3677.22,2022-03-27,2024-03-26,Lewis LLC,Tech,Large,18342050.23,Justinbury,1966,100.0,2025-03-24,0.0,0.0,2000-01-01,0.0
127,59,Auto,445786.86,13027.18,2022-07-11,2023-07-11,Rowland Inc,Healthcare,Large,88079279.38,Elizabethland,2010,100.0,2025-04-12,3.0,70656.35666666667,2023-04-10,0.3333333333333333
128,59,Cyber,229905.42,11922.62,2021-11-03,2023-11-03,Rowland Inc,Healthcare,Large,88079279.38,Elizabethland,2010,100.0,2025-04-12,2.0,206277.33000000002,2023-10-27,0.0
129,59,Property,4707128.18,11721.75,2021-09-22,2023-09-22,Rowland Inc,Healthcare,Large,88079279.38,Elizabethland,2010,100.0,2025-04-12,2.0,310992.695,2023-07-24,0.0
130,60,Auto,2002032.64,13044.12,2021-03-11,2023-03-11,Mack-Mora,Manufacturing,Small,200451871.95,Webbborough,1983,100.0,2025-04-06,0.0,0.0,2000-01-01,0.0
131,60,Cyber,2345439.16,11139.53,2024-01-19,2025-01-18,Mack-Mora,Manufacturing,Small,200451871.95,Webbborough,1983,100.0,2025-04-06,0.0,0.0,2000-01-01,0.0
132,61,Auto,4713177.56,8029.0,2020-05-29,2023-05-29,Cook and Sons,Manufacturing,Large,142961025.57,South Emily,2004,100.0,2025-04-07,0.0,0.0,2000-01-01,0.0
133,61,Cyber,4809833.76,18154.34,2021-05-06,2024-05-05,Cook and Sons,Manufacturing,Large,142961025.57,South Emily,2004,100.0,2025-04-07,3.0,219535.26333333334,2022-12-22,0.3333333333333333
134,62,Liability,1059376.56,1852.55,2020-08-14,2021-08-14,"Barnett, Santiago and Rodriguez",Healthcare,Large,208897002.2,Parkerfort,1975,38.16,2025-03-26,0.0,0.0,2000-01-01,0.0
135,62,Cyber,593812.21,855.33,2020-07-04,2022-07-04,"Barnett, Santiago and Rodriguez",Healthcare,Large,208897002.2,Parkerfort,1975,38.16,2025-03-26,0.0,0.0,2000-01-01,0.0
136,63,Property,562770.51,13818.63,2020-08-13,2023-08-13,Thomas Group,Finance,Medium,152350030.78,Schaeferhaven,1997,91.4,2025-04-05,2.0,59172.83,2020-12-16,0.5
137,63,Home,448824.38,6720.02,2023-05-28,2026-05-27,Thomas Group,Finance,Medium,152350030.78,Schaeferhaven,1997,91.4,2025-04-05,3.0,104881.13666666666,2026-03-12,0.3333333333333333
138,64,Liability,4239889.02,953.8,2021-07-26,2022-07-26,Burns-Ayala,Retail,Large,56905967.43,North Matthewfurt,2007,100.0,2025-04-12,3.0,112462.82333333332,2022-05-06,0.0
139,64,Cyber,4090895.56,5996.17,2021-09-01,2023-09-01,Burns-Ayala,Retail,Large,56905967.43,North Matthewfurt,2007,100.0,2025-04-12,0.0,0.0,2000-01-01,0.0
