company_id,company_name,industry,company_size,revenue,location,founded_year
68,Lindsey Group,Manufacturing,Small,46529815.4,Farleychester,1950
69,Smith Ltd,Tech,Large,296131646.3,Daltonmouth,1957
70,Sutton PLC,Healthcare,Small,195338744.63,Ryanburgh,1954
71,Bowers Group,Finance,Small,91505537.39,West Julie,2015
72,Chen and Sons,Healthcare,Medium,11325308.11,Fullerside,2012
73,Murray Group,Healthcare,Large,205710742.83,North Courtneyton,1966
74,"Rasmussen, Dixon and Weiss",Manufacturing,Large,356360098.49,Lake Teresa,2010
75,"Garcia, Russell and Allison",Healthcare,Medium,184961720.33,Port Andrew,2002
76,Rogers-Burton,Healthcare,Small,195104883.2,South Ericshire,1962
77,"Lozano, Horne and Gaines",Retail,Medium,15734885.7,East Samuel,2004
78,Howell PLC,Retail,Medium,72334679.98,Brianview,1956
79,Ward Group,Tech,Small,39181372.56,Port Lindseyburgh,2001
80,King Group,Finance,Small,347294818.96,Grahammouth,1981
81,Baird Ltd,Healthcare,Small,159591550.44,Kaylaborough,2018
82,Pace-Jones,Retail,Small,66848706.95,Lowerystad,2004
83,Miller PLC,Healthcare,Medium,25254004.07,South Madelineborough,2009
84,Morrow PLC,Healthcare,Small,84635757.21,Lake Patricia,2006
85,Wilson-Jones,Manufacturing,Small,169339827.79,West Josefort,1956
86,"Graham, Larson and Fletcher",Manufacturing,Small,367507027.39,Acevedoville,1961
87,Gallagher-Weaver,Healthcare,Small,163013793.13,Tommyview,2002
88,Williams and Sons,Retail,Medium,177555335.77,Lawsonborough,1977
89,Ford PLC,Retail,Small,94970770.11,Leeview,1971
90,"Davis, Reed and Wells",Retail,Small,24799254.94,South Stanley,1999
91,Gregory-Hunt,Finance,Medium,289599243.08,Lake Todd,1986
92,Vargas and Sons,Retail,Large,152396224.67,Carolborough,2012
93,Mills Group,Healthcare,Small,144706527.42,North Cody,1987
94,Ellis-Holmes,Healthcare,Small,195032123.19,Cynthiaview,2019
95,Santiago and Sons,Tech,Large,150669700.93,Port Susan,1990
96,Schultz Ltd,Tech,Small,159206184.67,North Mikemouth,2011
97,Sosa-Rodriguez,Manufacturing,Large,219495099.0,Alexandertown,1970
98,Sullivan Group,Tech,Large,12498642.39,Reyeshaven,1960
99,Haley-Bell,Healthcare,Small,35893942.48,East Julia,1958
